Translation Key,English Text,Arabic Text
achievements.achievementPoints,Achievement Points,نقاط الإنجاز
achievements.artistNotFound,Artist Not Found,الفنان غير موجود
achievements.badges.completed,Completed,مكتمل
achievements.badges.currentProgress,Current Progress,التقدم الحالي
achievements.badges.earnedOn,Earned on,حصلت عليه في
achievements.badges.inProgress,In Progress,قيد التقدم
achievements.badges.level,Level,المستوى
achievements.badges.locked,Locked,مقفل
achievements.badges.nextLevel,Next Level,المستوى التالي
achievements.badges.points,points,نقاط
achievements.badges.targetProgress,Target Progress,التقدم المستهدف
achievements.badges.unlocked,Unlocked,مفتوح
achievements.categories.engagement,Engagement,التفاعل
achievements.categories.expertise,Expertise,الخبرة
achievements.categories.participation,Participation,المشاركة
achievements.categories.sales,Sales,المبيعات
achievements.categories.time_based,Time Based,مرتبط بالوقت
achievements.completionRate,Completion Rate,معدل الإكمال
achievements.earnedAchievements,Earned Achievements,الإنجازات المكتسبة
achievements.noAchievements,No achievements earned yet,لم تحصل على أي إنجازات بعد
achievements.profileCompleteness,Profile Completeness,اكتمال الملف الشخصي
achievements.progress,Progress,التقدم
achievements.rarity.common,Common,شائع
achievements.rarity.epic,Epic,ملحمي
achievements.rarity.legendary,Legendary,أسطوري
achievements.rarity.rare,Rare,نادر
achievements.rarity.uncommon,Uncommon,غير شائع
achievements.startJourney,Start your journey to earn badges and recognition,ابدأ رحلتك لكسب الشارات والتقدير
achievements.statistics,Statistics,الإحصائيات
achievements.stats.averageRating,Average Rating,متوسط التقييم
achievements.stats.totalArtworks,Total Artworks,إجمالي الأعمال الفنية
achievements.stats.totalExhibitions,Total Exhibitions,إجمالي المعارض
achievements.stats.totalFollowers,Total Followers,إجمالي المتابعين
achievements.stats.totalLikes,Total Likes,إجمالي الإعجابات
achievements.stats.totalRevenue,Total Revenue,إجمالي الإيرادات
achievements.stats.totalReviews,Total Reviews,إجمالي المراجعات
achievements.stats.totalSales,Total Sales,إجمالي المبيعات
achievements.stats.totalViews,Total Views,إجمالي المشاهدات
achievements.stats.totalWorkshops,Total Workshops,إجمالي ورش العمل
achievements.subtitle,Track your milestones and earn badges,تتبع معالمك واكسب الشارات
achievements.title,Achievements,الإنجازات
achievements.viewAll,View All Achievements,عرض جميع الإنجازات
analytics.averagePrice,Average Price,متوسط السعر
analytics.charts.engagementRate,Engagement Rate,معدل التفاعل
analytics.charts.priceDistribution,Price Distribution,توزيع الأسعار
analytics.charts.salesByCategory,Sales by Category,المبيعات حسب الفئة
analytics.charts.viewsOverTime,Views Over Time,المشاهدات بمرور الوقت
analytics.conversionRate,Conversion Rate,معدل التحويل
analytics.dateRange,Date Range,النطاق الزمني
analytics.engagement,Engagement,التفاعل
analytics.export,Export Data,تصدير البيانات
analytics.metrics.artworkViews,Artwork Views,مشاهدات الأعمال الفنية
analytics.metrics.inquiries,Inquiries,الاستفسارات
analytics.metrics.likes,Likes,الإعجابات
analytics.metrics.profileViews,Profile Views,مشاهدات الملف الشخصي
analytics.metrics.revenue,Revenue,الإيرادات
analytics.metrics.saves,Saves,الحفظ
analytics.metrics.sold,Sold,مباع
analytics.noData,No data available for this period,لا توجد بيانات متاحة لهذه الفترة
analytics.performance,Performance,الأداء
analytics.recentActivity,Recent Activity,النشاط الأخير
analytics.sales,Sales,المبيعات
analytics.subtitle,Track your performance and insights,تتبع أدائك ورؤاك
analytics.title,Analytics Dashboard,لوحة التحليلات
analytics.topArtworks,Top Artworks,أفضل الأعمال الفنية
analytics.totalEngagement,Total Engagement,إجمالي التفاعل
analytics.totalSales,Total Sales,إجمالي المبيعات
analytics.totalViews,Total Views,إجمالي المشاهدات
analytics.tryDifferentRange,Try selecting a different date range,حاول تحديد نطاق زمني مختلف
analytics.views,Views,المشاهدات
artist.about.birthYear,Born,مولود
artist.about.details,Artist Details,تفاصيل الفنان
artist.about.instagram,Instagram,إنستغرام
artist.about.links,Links,الروابط
artist.about.nationality,Nationality,الجنسية
artist.about.noBiography,No biography available for this artist.,لا توجد سيرة ذاتية متاحة لهذا الفنان.
artist.about.title,About the Artist,نبذة عن الفنان
artist.about.website,Website,الموقع الإلكتروني
artist.aboutArtist,About the Artist,نبذة عن الفنان
artist.additionalInfo,Additional Information,معلومات إضافية
artist.artworks,artworks,أعمال فنية
artist.artworksCount,{{count}} artworks,{{count}} عمل فني
artist.averagePrice,Average Price,متوسط السعر
artist.awards,Awards,الجوائز
artist.backToArtists,Back to Artists,العودة إلى الفنانين
artist.born,b.,و.
artist.browseArtists,Browse Artists,تصفح الفنانين
artist.categories,Categories,الفئات
artist.contactSocial,Contact & Social,التواصل والاجتماعي
artist.died,d.,ت.
artist.education,Education,التعليم
artist.email,Email,البريد الإلكتروني
artist.exhibitions,Exhibitions,المعارض
artist.featured,Featured,مميز
artist.groupExhibitions,Group Exhibitions,المعارض الجماعية
artist.instagram,Instagram,إنستغرام
artist.linkCopied,Link copied,تم نسخ الرابط
